Hanzi,Pinyin,English,Image URL,Deck
猫,māo,Cat,,Animals
狗,gǒu,Dog,,Animals
鸟,niǎo,Bird,,Animals
鱼,yú,Fish,,Animals
马,mǎ,Horse,,Animals
牛,niú,Cow,,Animals
猪,zhū,Pig,,Animals
羊,yáng,Sheep,,Animals
鸡,jī,Chicken,,Animals
鸭,yā,Duck,,Animals
兔子,tùzi,Rabbit,,Animals
老虎,lǎohǔ,Tiger,,Animals
熊猫,xióngmāo,Panda,,Animals
猴子,hóuzi,Monkey,,Animals
大象,dàxiàng,Elephant,,Animals
蛇,shé,Snake,,Animals
面包,miànbāo,Bread,,Food
饺子,jiǎozi,Dumplings,,Food
包子,bāozi,Steamed bun,,Food
牛肉,niúròu,Beef,,Food
猪肉,zhūròu,Pork,,Food
蔬菜,shūcài,Vegetables,,Food
水果,shuǐguǒ,Fruit,,Food
香蕉,xiāngjiāo,Banana,,Food
西瓜,xīguā,Watermelon,,Food
汤,tāng,Soup,,Food
咖啡,kāfēi,Coffee,,Food
中国,Zhōngguó,China,,Countries
美国,Měiguó,United States,,Countries
英国,Yīngguó,United Kingdom,,Countries
法国,Fǎguó,France,,Countries
德国,Déguó,Germany,,Countries
日本,Rìběn,Japan,,Countries
韩国,Hánguó,South Korea,,Countries
泰国,Tàiguó,Thailand,,Countries
印度,Yìndù,India,,Countries
加拿大,Jiānádà,Canada,,Countries
澳大利亚,Àodàlìyà,Australia,,Countries
俄罗斯,Éluósī,Russia,,Countries
西班牙,Xībānyá,Spain,,Countries
意大利,Yìdàlì,Italy,,Countries
巴西,Bāxī,Brazil,,Countries
墨西哥,Mòxīgē,Mexico,,Countries
南非,Nánfēi,South Africa,,Countries
